GEOID,keep
01003010100,1
01007010001,1
01007010005,1
01007010006,1
01007010007,1
01007010008,1
01007010009,1
01007010010,1
01007010011,1
01009050104,1
01009050200,1
01009050502,1
01009050601,1
01009050603,1
01009050701,1
01009050702,1
01019955701,1
01019956101,1
01021060404,1
01025957901,1
01025957902,1
01025958003,1
01033020500,1
01033020600,1
01033020901,1
01033020902,1
01033021000,1
01043965501,1
01043965502,1
01043965600,1
01043965700,1
01049960102,1
01049960200,1
01057020000,1
01057020100,1
01057020300,1
01057020400,1
01059973100,1
01059973702,1
01059973703,1
01071950101,1
01071950102,1
01071950200,1
01071950301,1
01071950302,1
01071950400,1
01071950601,1
01071950901,1
01071951000,1
01071951101,1
01073011206,1
01073011301,1
01073011303,1
01073011304,1
01073011401,1
01073011402,1
01073011500,1
01073011600,1
01073011704,1
01073011706,1
01073011707,1
01073011708,1
01073011710,1
01073012001,1
01073012103,1
01073012104,1
01073012200,1
01073012302,1
01073012304,1
01073012307,1
01073012403,1
01073012500,1
01073014001,1
01073014002,1
01073014104,1
01073014106,1
01073014107,1
01073014207,1
01075030000,1
01075030101,1
01075030102,1
01077011200,1
01093964001,1
01093964002,1
01093964100,1
01093964300,1
01093964401,1
01093964402,1
01093964500,1
01093964600,1
01093964701,1
01093964702,1
01097005702,1
01097005800,1
01097005900,1
01097006000,1
01117030337,1
01117030350,1
01117030405,1
01117030406,1
01117030407,1
01117030408,1
01117030607,1
01117030610,1
01117030611,1
01117030613,1
01125010101,1
01125010102,1
01125010104,1
01125010105,1
01125010203,1
01125010500,1
01125010601,1
01125010603,1
01125010604,1
01125010703,1
01125010706,1
01125010707,1
01125010802,1
01125010803,1
01125010804,1
01127020100,1
01127020200,1
01127020302,1
01127020400,1
01127020600,1
01127020700,1
01127020801,1
01127020802,1
01127020900,1
01127021000,1
01127021100,1
01127021200,1
01127021300,1
01127021400,1
01127021500,1
01127021600,1
01127021700,1
01127021800,1
01127021900,1
01129044000,1
01129044100,1
01129044200,1
01129044300,1
01133965501,1
01133965502,1
01133965503,1
01133965601,1
01133965602,1
01133965700,1
01133965800,1
01133965900,1
04001970201,1
04001970300,1
04001970502,1
04005001500,1
04005002000,1
04005002101,1
04005002102,1
04005942201,1
04005942202,1
04015950103,1
04015951404,1
04015951601,1
04015951602,1
04015951702,1
04017940014,1
04017940015,1
04017942300,1
04017960100,1
04017960200,1
04017960400,1
04017960500,1
04017960600,1
04017963300,1
04017963400,1
04017963800,1
04017964202,1
05035030602,1
05047950201,1
05071951700,1
05071951800,1
05071951900,1
05071952000,1
05083950100,1
05083950200,1
05127950100,1
05131010102,1
05131010202,1
05131010301,1
05131010303,1
05131010304,1
06027000800,1
06029000102,1
06029000104,1
06029000105,1
06029000106,1
06029000201,1
06029000300,1
06029000400,1
06029000601,1
06029000702,1
06029000800,1
06029000902,1
06029000914,1
06029003900,1
06029004605,1
06029005103,1
06029005104,1
06029005205,1
06029005206,1
06029005207,1
06029005208,1
06029005300,1
06029005410,1
06029005509,1
06029006500,1
06065030104,1
06065040101,1
06065042300,1
06071003606,1
06071003609,1
06071003612,1
06071004001,1
06071004003,1
06071004004,1
06071006601,1
06071007107,1
06071008901,1
06071010300,1
06071011602,1
06071012500,1
06071025000,1
06077002100,1
06077002201,1
06077002202,1
06077002300,1
06077002800,1
06077003700,1
06077003803,1
06107002701,1
06107004301,1
06107004500,1
08001008802,1
08001008901,1
08001009001,1
08001009003,1
08001009004,1
08001009103,1
08001009104,1
08001009307,1
08001009553,1
08001015000,1
08005005551,1
08005005701,1
08009964600,1
08009964700,1
08011966702,1
08013012207,1
08013012208,1
08013012603,1
08013012701,1
08013012705,1
08013012707,1
08013012708,1
08013012709,1
08013012710,1
08013012801,1
08013012802,1
08013012903,1
08013013003,1
08023972700,1
08027970101,1
08027970102,1
08029964600,1
08029964700,1
08029964800,1
08029965001,1
08029965002,1
08029965202,1
08031001402,1
08031001403,1
08031001500,1
08031004602,1
08031004603,1
08031015600,1
08031015700,1
08033000100,1
08041001500,1
08041001600,1
08041001700,1
08041002200,1
08041002300,1
08041002802,1
08041003001,1
08043978100,1
08043978200,1
08043978300,1
08043978400,1
08043978500,1
08043978600,1
08043978800,1
08043979001,1
08043979002,1
